donor_chapter,logo_filename
UC San Diego,university-california-san-diego.png
University of Manchester,university-manchester.png
MIT Sloan School of Management,massachusetts-institute-of-technology.png
University of Virginia,university-virginia.png
University of Pennsylvania Wharton MBA,university-pennsylvania-wharton-mba.png
George Washington University,george-washington-university.png
Vanderbilt University,vanderbilt-university.png
Fort Lewis College,fort-lewis-college.png
Google,google.svg
BlackRock,blackrock.png
Stanford University (UG),stanford-university.png
University of St Andrews,university-st-andrews.png
Georgetown University,georgetown-university.png
Stanford Graduate School of Business,stanford-university.png
Columbia University,columbia-university.png
Fuqua School of Business (Duke),duke.png
University of Maryland,university-maryland.png
Princeton University,princeton-university.png
Union College,union-college.png
McGill University,mcgill-university.png
University of Cambridge,university-cambridge.png
University of Michigan,university-michigan.png
McKinsey,mckinsey-and.png
Brown University,brown-university.png
Harvard Law School,harvard-university.png
University of Calgary (Undergrad),undergrad.png
Meta,facebook.svg
Kellogg School of Management,northwestern-university.png
Queen's University,queens-university.png
News Corp,news.png
Australian National University,australian-national-university.png
University of Pennsylvania Law School,university-pennsylvania-law-school.png
William and Mary,william-and-mary.png
Syracuse University,syracuse-university.png
University of British Columbia,university-british-columbia.png
University of Cincinnati,university-cincinnati.png
Microsoft,microsoft.png
University of Queensland,university-queensland.png
UNC Kenan-Flagler (MBA),mba.png
Durham University,durham-university.png
Villanova University,villanova-university.png
University of Pennsylvania (UG),ug.png
University of Waterloo,university-waterloo.png
Northeastern University,northeastern-university.png
Duke University,duke-university.png
Bain,bain.png
Boston College,boston-college.png
University of Melbourne,university-melbourne.png
Okta,okta.svg
University of Victoria,university-victoria.png
University of Nebraska Medical Center,university-nebraska-medical-center.png
University of Virginia Law School,university-virginia-law-school.png
Thomas Jefferson University,thomas-jefferson-university.png
Tufts University,tufts-university.png
University of New South Wales,university-new-south-wales.png
University of Saskatchewan,university-saskatchewan.png
Benevity,benevity.png
California Institute of Technology,california-institute-of-technology.png
University of Alberta,university-alberta.png
Ivey Business School,western-university.png
Darden School of Business (UVA),university-virginia.png
University of Texas Austin,university-texas-austin.png
University of Exeter,university-exeter.png
Virginia Commonwealth University,virginia-commonwealth-university.png
University of Notre Dame,university-notre-dame.png
University of Florida,university-florida.png
Tepper School of Business,carnegie-mellon-university.png
Vertex Pharmaceuticals,vertex.png
Accenture,accenture.svg
Wellesley College,wellesley-college.png
Spotify,spotify.svg
McMaster University,mcmaster-university.png
University of Connecticut (Stamford),stamford.png
